date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2011-12-09,20728,588,420,21,841
2011-12-09,84212,1803,1288,14,2577
2011-12-09,21928,262,437,21,875
2011-12-09,84270,1802,1287,21,2575
2011-12-09,84945,1048,0,7,699
2011-12-09,20971,285,476,14,952
2011-12-09,20726,427,305,21,610
2011-12-09,20668,3353,2395,21,4791
2011-12-09,84978,116,194,7,389
2011-12-09,22417,1038,0,21,692
2011-12-09,22629,1423,0,14,949
2011-12-09,20713,1009,0,14,673
2011-12-09,22384,352,251,14,503
2011-12-09,21175,2562,0,14,854
2011-12-09,84598,89,149,14,299
2011-12-09,20972,201,144,7,288
2011-12-09,23203,844,603,7,1207
2011-12-09,22382,928,663,21,1327
2011-12-09,84836,648,0,7,216
2011-12-09,22356,387,645,21,1290
2011-12-09,72741,604,431,21,863
2011-12-09,21094,261,0,7,174
2011-12-09,21166,1008,720,14,1441
2011-12-09,21137,872,1454,21,2909
2011-12-09,21231,170,121,7,243
2011-12-09,22910,7089,0,14,2363
2011-12-09,84692,832,0,14,555
2011-12-09,20914,472,337,21,675
2011-12-09,20975,981,0,7,327
2011-12-09,21791,2274,0,21,1516
2011-12-09,22470,700,500,14,1001
2011-12-09,20723,721,515,21,1031
2011-12-09,22189,355,0,7,237
2011-12-09,22630,160,268,14,536
2011-12-09,21326,2640,0,14,880
2011-12-09,22585,1263,0,21,842
2011-12-09,22961,1409,1007,21,2014
2011-12-09,22489,594,0,7,396
2011-12-09,21733,528,0,7,352
2011-12-09,20712,318,227,14,455
2011-12-09,22693,417,696,21,1392
2011-12-09,22029,78,130,7,260
2011-12-09,22909,708,1180,21,2360
2011-12-09,84970L,483,0,7,161
2011-12-09,21497,984,703,21,1407
2011-12-09,22077,843,0,14,562
2011-12-09,21704,462,330,21,661
2011-12-09,22385,283,473,21,946
2011-12-09,82482,165,118,7,236
2011-12-09,22294,1620,0,21,540
2011-12-09,21086,330,0,7,220
2011-12-09,22659,62,104,7,208
2011-12-09,79321,3130,0,21,2087
2011-12-09,22090,175,125,14,250
2011-12-09,16156S,2853,0,14,951
2011-12-09,85152,322,230,7,460
2011-12-09,21088,951,0,14,317
2011-12-09,84947,1536,0,7,512
2011-12-09,21500,690,493,21,986
2011-12-09,22379,639,0,21,426
2011-12-09,21096,792,0,21,264
2011-12-09,85175,957,0,14,638
2011-12-09,21967,1431,0,21,477
2011-12-09,22551,1159,0,14,773
2011-12-09,22457,279,465,14,930
2011-12-09,71477,2598,0,14,866
2011-12-09,40016,123,206,7,412
2011-12-09,22326,933,0,14,622
2011-12-09,21121,226,162,14,324
2011-12-09,82494L,212,152,7,304
2011-12-09,22865,255,426,7,852
2011-12-09,21499,529,378,14,756
2011-12-09,21829,2067,0,21,1378
2011-12-09,21210,391,0,7,261
2011-12-09,22560,1327,948,21,1897
2011-12-09,21787,1717,1226,21,2453
2011-12-09,16033,8064,0,14,2688
2011-12-09,22969,157,112,7,225
2011-12-09,23199,1012,723,21,1447
2011-12-09,21976,174,0,7,116
2011-12-09,21703,1089,778,21,1556
2011-12-09,21918,90,64,7,129
2011-12-09,22045,1827,0,21,1218
2011-12-09,22328,54,91,7,183
2011-12-09,22558,1506,0,14,502
2011-12-09,21877,399,0,7,133
2011-12-09,22577,4272,0,7,1424
2011-12-09,22083,147,105,7,210
2011-12-09,75049L,460,0,7,307
2011-12-09,22297,42,71,7,142
2011-12-09,22554,235,168,7,337
2011-12-09,22556,547,391,21,782
2011-12-09,22866,648,1081,21,2163
2011-12-09,21085,2581,1844,7,3688
2011-12-09,21091,11434,0,14,7623
2011-12-09,37340,117,196,14,393
2011-12-09,22740,5610,0,21,1870
2011-12-09,21930,312,223,14,447
2011-12-09,21986,792,0,14,264
2011-12-09,20974,1161,0,7,387
2011-12-09,20718,286,0,7,191
2011-12-09,22867,1248,892,21,1784
2011-12-09,22578,3506,2504,21,5009
2011-12-09,82580,1014,0,14,338
2011-12-09,21099,1124,1874,7,3748
2011-12-09,23201,3156,0,21,2104
2011-12-09,22699,73,122,7,244
2011-12-09,21914,1737,0,14,1158
2011-12-09,16161P,999,714,21,1428
2011-12-09,21889,285,476,14,953
2011-12-09,23209,2536,0,21,1691
2011-12-09,22147,1400,1000,21,2001
2011-12-09,22534,2148,0,21,716
2011-12-09,21108,2128,0,14,1419
2011-12-09,82583,463,331,14,662
2011-12-09,22030,2316,0,14,772
2011-12-09,22595,882,0,14,588
2011-12-09,22149,982,0,7,655
2011-12-09,82600,392,280,7,561
2011-12-09,21092,2905,2075,7,4150
2011-12-09,20711,79,133,14,266
2011-12-09,22610,2389,0,14,1593
2011-12-09,21122,148,248,21,496
2011-12-09,22418,840,0,7,280
2011-12-09,22993,805,575,14,1151
2011-12-09,22348,99,71,7,142
2011-12-09,21495,1161,829,21,1659
2011-12-09,22998,1080,772,21,1544
2011-12-09,22188,1254,0,14,418
2011-12-09,22114,1367,976,21,1953
2011-12-09,22467,84,141,7,282
2011-12-09,84949,197,329,14,658
2011-12-09,21891,487,348,14,696
2011-12-09,79000,1752,0,14,1168
2011-12-09,85220,14389,10278,7,20556
2011-12-09,23206,556,0,7,371
2011-12-09,17084R,3428,2449,21,4898
2011-12-09,23307,268,192,7,384
2011-12-09,23310,991,708,14,1416
2011-12-09,22555,65,108,7,217
2011-12-09,84029E,126,210,7,421
2011-12-09,84378,127,213,7,426
2011-12-09,22561,1905,0,14,635
